Таблица алгоритмов,,,,,,,,
№,Название алгоритма,Ω,Θ,О,Краткое назначение,Wikipedia,Блок-схема,Мой код
1,Алгоритм Эвклида,,,,Нахождение Наибольшего Общего Знаменателя,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC_%D0%95%D0%B2%D0%BA%D0%BB%D0%B8%D0%B4%D0%B0,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/euclidus.c
2,Расширенные Алгоритм Эвклида,,,,"Нахождение помимо НОД коэфициентов. ax + by = GCD(a,b)",https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC_%D0%95%D0%B2%D0%BA%D0%BB%D0%B8%D0%B4%D0%B0,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/ext_euclidus.c
3,Решето Эратосфена,,,,Нахождение простых чисел в диапазоне,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%88%D0%B5%D1%82%D0%BE_%D0%AD%D1%80%D0%B0%D1%82%D0%BE%D1%81%D1%84%D0%B5%D0%BD%D0%B0,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/resheto_eratosfena.c
4,Пузырьковая сортировка,O(n),O(n^2),O(n^2),Сортировка,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%BF%D1%83%D0%B7%D1%8B%D1%80%D1%8C%D0%BA%D0%BE%D0%BC,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/bubble_sort.c
5,Шейкерная сортировка,O(n),O(n^2),O(n^2),Сортировка,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%BF%D0%B5%D1%80%D0%B5%D0%BC%D0%B5%D1%88%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%D0%BC,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/shaker_sort.c
6,Сортировка методом вставок,O(n),O(n^2),O(n^2),Сортировка,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0%D0%BC%D0%B8,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/inserts_sort.c
7,Сортировка методом выбора,O(n^2),O(n^2),O(n^2),Сортировка,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%B2%D1%8B%D0%B1%D0%BE%D1%80%D0%BE%D0%BC,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/selection_sort.c
8,Линейный поиск,O(1),O(n),O(n),Поиск,https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BD%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B8%D1%81%D0%BA,,too simple
9,Поиск с барьером,O(1),O(n),O(n),Поиск,https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BD%D0%B5%D0%B9%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B8%D1%81%D0%BA,,too simple
10,Бинарный поиск,O(1),O(log n),O(log n),Поиск в отсортированном массиве,https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%BE%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B8%D1%81%D0%BA,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/binary_search.c
11,Интерполяционный поиск,O(1),Olog(log n),O(n),Поиск в отсортированном массиве,https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%82%D0%B5%D1%80%D0%BF%D0%BE%D0%BB%D1%8F%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B8%D1%81%D0%BA,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/interpolation_search.c
12,Быстрая сортировка (сортировка Хоара),O(n),O(n log n),O(n^2),Сортировка,https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%81%D1%82%D1%80%D0%B0%D1%8F_%D1%81%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/quick_sort.c
13,Быстра сортировка с разбиением Ломуто,O(n),O(n log n),O(n^2),Быстрая сортировка с разбиением Ломуто,https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%81%D1%82%D1%80%D0%B0%D1%8F_%D1%81%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0#%D0%A0%D0%B0%D0%B7%D0%B1%D0%B8%D0%B5%D0%BD%D0%B8%D0%B5_%D0%9B%D0%BE%D0%BC%D1%83%D1%82%D0%BE,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/quick_sort_Lomuto.c
14,"Быстрая сортировка с ""толстым"" разбиением",O(n),O(n log n),O(n^2),"Быстрая сортировка с ""толстым"" разбиением",https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%81%D1%82%D1%80%D0%B0%D1%8F_%D1%81%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0#%D0%9F%D0%BE%D0%B2%D1%82%D0%BE%D1%80%D1%8F%D1%8E%D1%89%D0%B8%D0%B5%D1%81%D1%8F_%D1%8D%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D1%82%D1%8B,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/quick_sort_with_fat_partition.c
15,Улучшенная быстрая сортировка,O(n),O(n log n),O(n^2),Совмещение быстрой сортировки и сортировки вставками,https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D1%81%D1%82%D1%80%D0%B0%D1%8F_%D1%81%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0#%D0%A3%D0%BB%D1%83%D1%87%D1%88%D0%B5%D0%BD%D0%B8%D1%8F,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/better_quick_sort.c
16,Сортировка (нисходящего слияния) слиянием,O(n log n),O(n log n),O(n log n),Сортировка в структурах данных с последовательным доступом,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D1%81%D0%BB%D0%B8%D1%8F%D0%BD%D0%B8%D0%B5%D0%BC,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/merge_sort.c
17,Сортировка подсчетом,O(n),O(n),O(n),Сортировка большого кол-ва чисел в маленьком диапазоне значений,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%BF%D0%BE%D0%B4%D1%81%D1%87%D1%91%D1%82%D0%BE%D0%BC,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/counting_sort.c
18,Сортировка алгоритмом со списком,O(n),O(2n),O(2n),Улучшенная версия сортировки подсчетом,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%BF%D0%BE%D0%B4%D1%81%D1%87%D1%91%D1%82%D0%BE%D0%BC#%D0%90%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC_%D1%81%D0%BE_%D1%81%D0%BF%D0%B8%D1%81%D0%BA%D0%BE%D0%BC,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/counting_sort_with_list.c
19,Блочная сортировка,O(n),O(n),O(n),"Сортировка массива с помощью доп блоков, сортируя рекурс.каждый",https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D1%81%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/bucket_sort.c
20,Улучшенная сортировка вставками (сортировка Шелла),O(n log^2 n),~,O(n^2),Сортировка вставками с предварительными «грубыми» проходами,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0_%D0%A8%D0%B5%D0%BB%D0%BB%D0%B0,,https://github.com/RIzmaylov/Algorithms/blob/main/Algorithms_c_files/sort_Shells.c
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,